strategy,asset,target_utc,block,block_hash,block_utc,status,start_quantity,end_quantity,end_usd,net_return_fraction,versus_hold_usd,gas_usd,accounting_usd,route,note
curve-crv-cvxcrv-v2-lp,ETH,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-lp,CRV,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-lp,CRV,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-lp,CRV,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-gauge,USD,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-gauge,USD,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-gauge,USD,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-gauge,BTC,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-gauge,BTC,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-gauge,BTC,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-gauge,ETH,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-gauge,ETH,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-gauge,ETH,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-gauge,CRV,2022-02-01T00:00:00+00:00,14116761,0x4a5a96b90503c3033b494fe07306a6de18ce0ca3833cac7ad336993a64aa9ce0,2022-02-01T00:00:00+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-gauge,CRV,2022-03-01T00:00:00+00:00,14297758,0x3d75edc45b9dcab8bf1196fabcecdcf22c9289d02eedfe1416731fd751eca9b3,2022-02-28T23:59:58+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
curve-crv-cvxcrv-v2-gauge,CRV,2022-04-01T00:00:00+00:00,14497033,0xba079017e34778e071d26698d4cd9a64689487ac91218836ef5d608ec392b3ee,2022-03-31T23:59:56+00:00,unavailable-entry,,,,,,,,[],no contract at 0x971add32Ea87f10bD192671630be3BE8A11b8623 by block 13916165
